customer_id,age,gender,account_age_days,total_lifetime_orders,preferred_payment
CUST01310,40,M,103,30,Net Banking
CUST01150,22,M,1669,40,Net Banking
CUST00190,41,F,545,33,Amazon Pay
CUST01183,46,F,613,34,Credit Card
CUST00759,44,F,593,13,Debit Card
CUST01403,59,Other,1079,5,Cash on Delivery
CUST00543,58,Other,1215,28,Amazon Pay
CUST01286,35,M,1698,11,Net Banking
CUST00229,33,Other,1131,27,Debit Card
CUST01227,66,Other,179,45,UPI
CUST01205,54,M,218,9,UPI
CUST00498,39,M,1552,30,Cash on Delivery
CUST00510,61,Other,1199,19,Amazon Pay
CUST01985,48,Other,567,39,Debit Card
CUST00867,38,F,1566,41,UPI
CUST00117,44,M,737,35,Debit Card
CUST01915,21,M,1586,50,Credit Card
CUST00151,54,Other,699,5,Cash on Delivery
CUST01368,26,F,1528,37,Debit Card
CUST01408,30,F,762,4,UPI
CUST01519,50,F,643,6,Credit Card
CUST00431,35,M,282,13,UPI
CUST01643,37,M,986,28,UPI
CUST00049,38,M,969,49,Credit Card
CUST01797,36,M,1426,18,Amazon Pay
CUST00522,33,M,1605,49,UPI
CUST01428,64,Other,966,12,Net Banking
CUST00953,44,Other,772,23,Net Banking
CUST00051,56,F,1154,1,Cash on Delivery
CUST01595,63,F,349,17,Amazon Pay
CUST01946,27,Other,1224,24,Debit Card
CUST00481,21,M,1661,16,Amazon Pay
CUST00128,22,F,1770,33,Credit Card
CUST01103,60,F,1248,41,Cash on Delivery
CUST01275,18,M,731,35,Debit Card
CUST00692,47,Other,1551,22,UPI
CUST00409,55,Other,308,41,Net Banking
CUST01976,37,Other,677,10,Cash on Delivery
CUST01631,29,F,1550,25,Cash on Delivery
CUST01449,20,F,317,23,Credit Card
CUST01537,19,F,237,2,Cash on Delivery
CUST00176,36,M,1469,9,UPI
CUST01360,20,Other,675,49,Net Banking
CUST00647,19,M,1157,41,Debit Card
CUST00029,66,Other,637,30,UPI
CUST00378,57,F,442,5,Credit Card
CUST01143,66,M,427,2,Debit Card
CUST00492,41,F,143,10,Debit Card
CUST00146,70,Other,1546,41,Net Banking
CUST00900,62,Other,568,45,UPI
CUST00469,47,M,671,36,Credit Card
CUST00713,30,Other,674,35,Net Banking
CUST00663,21,F,1517,47,Debit Card
CUST00898,57,M,157,36,Cash on Delivery
CUST01940,46,Other,1120,44,UPI
CUST01888,51,Other,414,24,Credit Card
CUST01104,41,M,1248,6,UPI
CUST00791,18,F,1282,21,Amazon Pay
CUST01784,25,M,149,37,Cash on Delivery
CUST01265,44,M,1741,45,Amazon Pay
CUST00665,27,M,651,40,Net Banking
CUST01870,68,Other,1596,20,Amazon Pay
CUST01309,23,M,771,32,Debit Card
CUST01700,56,F,1215,26,Debit Card
CUST01389,60,F,84,47,Credit Card
CUST00412,22,M,1650,22,Net Banking
CUST01981,47,M,1622,12,Net Banking
CUST00222,63,F,633,10,Cash on Delivery
CUST00093,41,Other,890,26,Debit Card
CUST01342,69,F,1487,9,Credit Card
CUST00816,43,M,917,12,Amazon Pay
CUST00141,64,Other,136,38,Net Banking
CUST01354,53,Other,950,38,Net Banking
CUST00919,31,Other,204,39,Cash on Delivery
CUST01459,37,Other,1143,27,Credit Card
CUST00204,42,F,174,11,UPI
CUST00767,34,F,706,22,Cash on Delivery
CUST01790,68,Other,1227,48,Amazon Pay
CUST00236,59,Other,1718,23,Debit Card
CUST00013,18,M,1090,22,Amazon Pay
CUST01478,24,M,1716,44,Credit Card
CUST00707,54,M,1189,23,Credit Card
CUST01572,39,Other,1288,10,Cash on Delivery
CUST00814,65,Other,987,41,Cash on Delivery
CUST01642,35,F,68,46,Cash on Delivery
CUST01046,62,F,160,26,Net Banking
CUST00363,32,Other,1479,5,Debit Card
CUST01212,29,Other,1444,6,Credit Card
CUST00948,33,Other,1597,46,UPI
CUST01463,55,M,1717,49,Net Banking
CUST01617,61,M,1359,6,Amazon Pay
CUST01982,66,F,1519,4,Amazon Pay
CUST01948,32,M,1085,16,Amazon Pay
CUST00371,45,Other,1768,5,Debit Card
CUST00754,35,Other,1186,33,Debit Card
CUST01457,63,M,895,9,Cash on Delivery
CUST01906,27,F,316,28,Cash on Delivery
CUST01621,68,Other,279,24,Amazon Pay
CUST00228,55,Other,1478,23,Net Banking
CUST01472,46,M,331,43,UPI
CUST01302,52,M,1382,15,UPI
CUST01701,42,M,1272,19,Credit Card
CUST01912,22,Other,1666,37,Net Banking
CUST01833,33,M,1677,9,Amazon Pay
CUST00658,50,M,1580,22,Amazon Pay
CUST00563,31,F,913,22,Net Banking
CUST00785,42,Other,526,50,Credit Card
CUST01507,57,F,1314,42,Cash on Delivery
CUST00354,47,Other,998,32,UPI
CUST00485,25,F,33,33,Cash on Delivery
CUST00257,62,F,1529,34,UPI
CUST00623,40,M,1723,12,Cash on Delivery
CUST01030,31,F,277,24,Credit Card
CUST01266,67,Other,623,4,Amazon Pay
CUST00952,49,Other,1647,12,Amazon Pay
CUST00548,62,M,1696,40,Debit Card
CUST01055,61,Other,1042,42,Debit Card
CUST00586,68,M,615,21,Amazon Pay
CUST00792,38,F,948,33,Cash on Delivery
CUST01234,27,Other,1626,24,Debit Card
CUST00333,28,M,462,29,Net Banking
CUST01632,23,Other,115,28,Debit Card
CUST00039,60,Other,969,39,UPI
CUST00643,39,Other,76,25,Net Banking
CUST01414,30,M,69,50,Net Banking
CUST00595,48,Other,1126,13,Amazon Pay
CUST00282,66,F,1578,31,Net Banking
CUST00856,38,Other,1049,50,Amazon Pay
CUST00583,35,M,760,4,Credit Card
CUST01509,54,F,608,3,Cash on Delivery
CUST00954,35,Other,1616,5,Cash on Delivery
CUST00852,55,M,562,39,Credit Card
CUST00127,44,Other,967,33,Credit Card
CUST01155,40,Other,536,17,Net Banking
CUST01339,55,M,1231,38,Cash on Delivery
CUST00944,21,F,508,27,Cash on Delivery
CUST00502,63,M,576,21,UPI
CUST00619,25,M,1599,19,UPI
CUST01610,69,Other,1280,39,Cash on Delivery
CUST01874,55,Other,1133,32,Debit Card
CUST00550,51,M,292,23,Credit Card
CUST01530,29,Other,881,4,Credit Card
CUST00955,33,M,646,28,Net Banking
CUST00472,43,Other,152,26,Cash on Delivery
CUST00377,54,M,660,31,Amazon Pay
CUST00765,56,Other,768,34,UPI
CUST00220,18,F,556,50,Credit Card
CUST01158,28,M,443,29,UPI
CUST01024,32,Other,719,22,Credit Card
CUST01842,69,M,1430,32,Credit Card
CUST01387,39,F,1634,38,Cash on Delivery
CUST01635,44,F,274,10,Amazon Pay
CUST00738,22,F,240,4,UPI
CUST01223,44,M,1411,6,Cash on Delivery
CUST00982,56,F,1107,8,Cash on Delivery
CUST01213,33,F,1193,7,UPI
CUST00518,23,Other,1416,47,Net Banking
CUST00224,42,F,663,50,Net Banking
CUST00913,28,Other,379,30,Credit Card
CUST00639,68,Other,1372,27,Amazon Pay
CUST00047,54,M,412,37,Cash on Delivery
CUST00382,30,M,1809,27,Amazon Pay
CUST01732,64,Other,288,9,Credit Card
CUST01178,25,F,1165,20,Cash on Delivery
CUST00993,58,Other,297,20,Credit Card
CUST00067,31,Other,793,7,Net Banking
CUST01119,70,Other,1533,24,Credit Card
CUST01589,62,Other,622,31,Cash on Delivery
CUST01437,64,F,134,32,Net Banking
CUST00826,24,Other,279,16,Amazon Pay
CUST00447,18,F,955,11,Amazon Pay
CUST00255,65,Other,1377,11,Net Banking
CUST00107,48,M,568,3,Net Banking
CUST00020,67,F,1663,45,Net Banking
CUST00784,42,Other,1739,47,Net Banking
CUST01837,28,M,1169,48,Cash on Delivery
CUST01596,59,Other,1257,16,UPI
CUST01082,29,M,678,38,Cash on Delivery
CUST00442,25,M,110,26,Net Banking
CUST01996,54,F,1080,39,Debit Card
CUST00634,37,Other,1531,2,Cash on Delivery
CUST01580,32,M,834,28,Amazon Pay
CUST01908,27,M,1754,18,Cash on Delivery
CUST01954,19,F,407,42,Amazon Pay
CUST00951,51,M,916,7,Net Banking
CUST01555,47,F,1289,1,Debit Card
CUST01436,65,M,1442,36,Cash on Delivery
CUST01897,65,Other,1416,25,Amazon Pay
CUST00248,31,M,435,42,UPI
CUST00187,48,F,132,38,Net Banking
CUST00249,38,F,464,43,Debit Card
CUST01658,31,F,938,42,Net Banking
CUST00725,54,Other,259,29,Cash on Delivery
CUST00654,18,M,1482,38,Credit Card
CUST01093,61,Other,835,17,UPI
CUST01111,21,Other,515,33,Debit Card
CUST01652,20,F,811,19,Credit Card
CUST01201,66,F,417,28,Amazon Pay
CUST00775,42,Other,1254,23,Debit Card
CUST00718,22,Other,507,49,Cash on Delivery
CUST01616,34,F,1239,34,Amazon Pay
CUST01500,43,Other,1530,32,UPI
CUST00604,70,Other,876,33,Credit Card
CUST01002,36,M,1134,4,UPI
CUST01715,24,M,1587,18,Net Banking
CUST01173,56,F,689,39,Amazon Pay
CUST00259,35,F,131,29,Net Banking
CUST01755,48,Other,669,20,Amazon Pay
CUST01895,40,M,628,2,UPI
CUST00295,69,F,110,7,Cash on Delivery
CUST01992,32,M,1132,39,Net Banking
CUST01682,57,M,1779,19,Cash on Delivery
CUST01444,53,F,687,29,Amazon Pay
CUST00706,25,F,912,31,Credit Card
CUST01052,67,F,51,16,UPI
CUST00941,59,Other,517,14,Cash on Delivery
CUST01312,40,Other,550,15,Credit Card
CUST00606,50,Other,1101,14,Net Banking
CUST00602,36,M,1365,44,UPI
CUST00862,57,M,1157,46,Debit Card
CUST01086,39,F,1146,12,Net Banking
CUST01259,31,F,1779,2,Net Banking
CUST00464,25,M,973,14,Debit Card
CUST00889,69,F,55,42,Debit Card
CUST00253,60,M,1293,32,Credit Card
CUST01121,47,Other,340,5,Debit Card
CUST00579,50,M,1630,8,Amazon Pay
CUST01410,18,F,1793,15,Net Banking
CUST01853,56,Other,894,46,Net Banking
CUST01744,22,F,1691,12,Credit Card
CUST00557,38,M,91,8,Amazon Pay
CUST00372,36,M,1433,44,Credit Card
CUST01443,25,F,1729,29,UPI
CUST01745,55,Other,1076,16,Net Banking
CUST00181,27,F,322,20,Debit Card
CUST01341,68,Other,1527,36,UPI
CUST00200,46,M,1644,40,Credit Card
CUST00937,31,M,1089,9,UPI
CUST01033,32,Other,350,4,Debit Card
CUST01458,31,Other,692,34,Credit Card
CUST01798,66,F,43,10,Debit Card
CUST00418,67,M,1587,22,Amazon Pay
CUST00794,34,M,131,38,Credit Card
CUST00383,57,F,1189,27,Amazon Pay
CUST00082,60,Other,478,23,Net Banking
CUST01611,56,M,389,40,Debit Card
CUST01867,33,F,1135,23,Debit Card
CUST01284,54,M,177,50,Debit Card
CUST00365,41,F,955,3,Net Banking
CUST01549,28,M,1213,32,Credit Card
CUST00971,34,Other,721,17,Credit Card
CUST01101,34,M,77,44,Amazon Pay
CUST01844,37,F,310,17,Net Banking
CUST00567,60,Other,334,9,Debit Card
CUST01826,43,Other,746,39,UPI
CUST01340,50,M,1563,31,Credit Card
CUST01551,26,M,1367,2,Net Banking
CUST00480,21,F,59,45,Net Banking
CUST00772,69,Other,1257,27,Amazon Pay
CUST01028,40,Other,1461,4,Credit Card
CUST01476,27,Other,809,3,Net Banking
CUST01825,44,M,1589,32,Cash on Delivery
