product_id,brand,seller_id,stock_quantity,avg_rating,num_reviews
PROD01144,Brand_A,SELLER071,220,4.3,1573
PROD02279,Brand_D,SELLER092,311,3.1,343
PROD04946,Brand_G,SELLER085,641,4.1,2376
PROD02371,Brand_E,SELLER049,845,4.5,4105
PROD04991,Brand_D,SELLER070,760,3.5,3199
PROD02585,Brand_C,SELLER080,69,3.5,4434
PROD04781,Brand_H,SELLER057,960,4.9,1474
PROD04882,Brand_C,SELLER065,242,3.5,2689
PROD02158,Brand_C,SELLER001,209,2.9,906
PROD02520,Brand_D,SELLER019,875,4.2,3130
PROD02554,Brand_F,SELLER040,946,2.7,2388
PROD00483,Brand_F,SELLER082,721,3.5,714
PROD03532,Brand_H,SELLER040,156,4.5,1347
PROD01504,Brand_A,SELLER044,880,3.4,587
PROD03944,Brand_B,SELLER032,482,4.1,975
PROD01784,Brand_D,SELLER057,690,4.0,4866
PROD00557,Brand_D,SELLER009,468,4.8,1283
PROD03243,Brand_G,SELLER019,233,3.8,1108
PROD00564,Brand_B,SELLER089,276,3.7,2996
PROD02167,Brand_G,SELLER068,441,3.0,1143
PROD00417,Brand_B,SELLER083,477,4.2,1806
PROD01222,Brand_D,SELLER064,932,4.2,1601
PROD03330,Brand_E,SELLER057,779,3.3,2169
PROD00886,Brand_F,SELLER046,745,4.2,1789
PROD00569,Brand_H,SELLER089,51,4.2,4255
PROD04888,Brand_B,SELLER044,468,3.4,1611
PROD02984,Brand_D,SELLER091,694,4.2,958
PROD01426,Brand_B,SELLER048,720,3.3,4635
PROD01391,Brand_G,SELLER063,298,3.2,4425
PROD03731,Brand_D,SELLER099,994,4.3,61
PROD03806,Brand_C,SELLER036,492,3.2,1452
PROD03889,Brand_B,SELLER012,365,4.4,4195
PROD01134,Brand_F,SELLER026,887,4.8,399
PROD00161,Brand_H,SELLER036,978,2.5,2379
PROD03571,Brand_E,SELLER030,771,3.3,2041
PROD00688,Brand_F,SELLER036,666,5.0,1430
PROD03853,Brand_B,SELLER072,223,3.8,3950
PROD00938,Brand_D,SELLER079,361,3.8,1220
PROD03075,Brand_D,SELLER035,688,3.9,2521
PROD03036,Brand_D,SELLER042,661,3.6,982
PROD04409,Brand_B,SELLER011,634,2.8,1255
PROD02663,Brand_E,SELLER022,103,2.9,2307
PROD03901,Brand_D,SELLER044,506,2.9,2382
PROD03486,Brand_A,SELLER098,364,2.8,327
PROD03967,Brand_G,SELLER075,996,4.1,2605
PROD04534,Brand_H,SELLER061,387,3.6,1616
PROD03283,Brand_E,SELLER013,592,5.0,4276
PROD02436,Brand_G,SELLER044,353,2.9,3624
PROD03691,Brand_G,SELLER011,881,4.3,4143
PROD01621,Brand_F,SELLER017,539,2.6,146
PROD02231,Brand_A,SELLER006,773,2.7,2405
PROD01436,Brand_G,SELLER098,81,2.7,2712
PROD01318,Brand_B,SELLER075,881,3.4,4930
PROD03386,Brand_C,SELLER049,982,4.5,3662
PROD04988,Brand_E,SELLER031,340,3.0,3739
PROD04169,Brand_G,SELLER023,222,3.7,717
PROD02785,Brand_A,SELLER005,216,3.3,1680
PROD04115,Brand_E,SELLER081,909,2.5,3353
PROD02774,Brand_G,SELLER094,772,2.7,4812
PROD00741,Brand_B,SELLER088,801,3.1,4809
PROD01193,Brand_D,SELLER029,751,4.1,649
PROD03765,Brand_H,SELLER005,143,3.4,3053
PROD01632,Brand_H,SELLER034,995,3.6,1474
PROD00402,Brand_C,SELLER100,165,4.9,2713
PROD02531,Brand_B,SELLER093,254,3.3,55
PROD01348,Brand_H,SELLER069,477,3.1,2645
PROD00115,Brand_E,SELLER070,177,4.6,624
PROD04600,Brand_H,SELLER098,510,4.9,4562
PROD01924,Brand_H,SELLER098,203,3.1,1808
PROD00751,Brand_G,SELLER089,784,4.1,3074
PROD02692,Brand_F,SELLER042,706,3.7,4311
PROD04824,Brand_H,SELLER013,183,4.1,3176
PROD00356,Brand_H,SELLER033,397,4.4,1729
PROD01216,Brand_H,SELLER056,69,4.9,4389
PROD01872,Brand_B,SELLER043,296,3.8,3212
PROD00764,Brand_F,SELLER081,925,4.8,3583
PROD02560,Brand_C,SELLER034,713,5.0,711
PROD04561,Brand_D,SELLER065,229,4.3,4971
